FID_1,aet,dtr,eto,frac,lulc,pawc,precip,wy,POINT_X,POINT_Y,POINT_Z
0,692.13296387,700.00000000,958.16000000,0.24316332,1.24000000,0.20000000,2280.95320313,2167.86520996,720277.23165200000,9256284.02836000000,0.00000000000
2,887.39324951,1500.00000000,1524.00000000,0.38770000,3.00000000,0.11000000,1536.71377563,1401.49375916,718911.97296500000,9264174.65981000000,0.00000000000
3,902.06940020,1383.65384615,1701.35256410,0.41215833,8.24679487,0.13326923,1569.24564264,1290.96019500,725243.17891400000,9264941.36665000000,0.00000000000
4,842.69979283,1367.45283019,1805.38679245,0.36622543,8.37421384,0.13276730,1725.30169601,1463.68802014,726882.84984200000,9269114.62068000000,0.00000000000
5,877.63268018,1500.00000000,1694.21428571,0.39262121,8.26428571,0.11000000,1536.02349766,1357.78528181,722541.46049100000,9267162.68983000000,0.00000000000
6,853.75779664,1500.00000000,1687.82677165,0.37904662,8.15748031,0.11000000,1517.18511915,1398.11480280,721007.04853600000,9268057.74050000000,0.00000000000
7,844.34153785,1500.00000000,1766.60975610,0.36375265,7.32926829,0.11000000,1551.84695062,1472.88493608,720962.46550200000,9271106.46920000000,0.00000000000
8,932.69718248,1500.00000000,1819.97101449,0.39106139,9.49275362,0.11000000,1580.17666759,1453.05027174,720032.17174000000,9273879.37158000000,0.00000000000
10,854.90169262,1244.46902655,1905.46460177,0.32873577,9.19469027,0.11973451,2101.71243637,1756.74371824,727948.94758900000,9275088.02162000000,0.00000000000
11,940.94937541,1500.00000000,1932.28666667,0.34406134,9.94666667,0.11000000,2206.53914144,1797.72551554,726855.10378600000,9277268.60687000000,0.00000000000
12,874.93726273,1388.74172185,1959.93377483,0.31892448,9.64900662,0.11423841,2413.32098833,1871.78013035,732520.17227500000,9275712.04391000000,0.00000000000
13,825.50606547,650.00000000,1974.54545455,0.29862935,8.63636364,0.14116883,2542.18064821,1937.52688559,737054.16417600000,9274272.99966000000,0.00000000000
14,958.55579415,1476.00000000,1962.52000000,0.32877327,6.04000000,0.11091429,2804.52217076,1961.92297224,739798.65417300000,9275636.11771000000,0.00000000000
15,756.16082524,501.47058824,1980.57843137,0.26139921,9.53921569,0.14705883,2705.34393670,2134.28592039,736358.50651700000,9276631.34939000000,0.00000000000
16,924.13441887,1134.78260870,1969.49275362,0.31570223,10.42028986,0.12391305,2670.51854761,2005.99826802,733209.41446300000,9278331.21904000000,0.00000000000
17,1041.04563298,854.76190476,1992.63492063,0.33373654,10.92063492,0.16079365,2930.68508572,2074.64317104,734073.10791800000,9281887.19776000000,0.00000000000
18,885.90965232,303.84615385,1986.66666667,0.29019841,9.79487179,0.15576923,2898.74846630,2167.07356301,735393.97570800000,9279917.15795000000,0.00000000000
19,781.62102090,660.75268817,1986.27956989,0.25392370,10.56989247,0.14193549,2999.67999727,2293.83268951,737785.93676500000,9279297.73582000000,0.00000000000
20,963.43921407,264.16666667,1995.33333333,0.30448795,10.45000000,0.15600000,3157.65281576,2202.60217590,738978.29919600000,9282428.92891000000,0.00000000000
21,1022.52649293,899.39759036,1996.20481928,0.32250589,10.75903614,0.16710843,3092.54649849,2146.22481675,736784.85732700000,9282838.12296000000,0.00000000000
22,828.30506931,763.89776358,1869.72843450,0.36724771,8.09265176,0.15511183,1803.76594363,1430.00274834,732977.25958600000,9267443.67058000000,0.00000000000
